dimension,bin,method,n,success,sr,macro_exec
semantic_atomic_count,2 atomic,ProgPrompt-Compat,9,0,0,0.8600088183421517
semantic_atomic_count,2 atomic,HPAF-Flat,9,5,0.5555555555555556,0.8710826210826211
semantic_atomic_count,2 atomic,HPAF-Full,9,7,0.7777777777777778,0.9398083216456288
semantic_atomic_count,3 atomic,ProgPrompt-Compat,3,0,0,0.9298245614035088
semantic_atomic_count,3 atomic,HPAF-Flat,3,1,0.3333333333333333,0.7916666666666666
semantic_atomic_count,3 atomic,HPAF-Full,3,3,1,0.9824561403508771
semantic_atomic_count,>=4 atomic,ProgPrompt-Compat,0,0,,
semantic_atomic_count,>=4 atomic,HPAF-Flat,0,0,,
semantic_atomic_count,>=4 atomic,HPAF-Full,0,0,,
dependency_depth,D=2,ProgPrompt-Compat,9,0,0,0.8600088183421517
dependency_depth,D=2,HPAF-Flat,9,5,0.5555555555555556,0.8710826210826211
dependency_depth,D=2,HPAF-Full,9,7,0.7777777777777778,0.9398083216456288
dependency_depth,D=3,ProgPrompt-Compat,3,0,0,0.9298245614035088
dependency_depth,D=3,HPAF-Flat,3,1,0.3333333333333333,0.7916666666666666
dependency_depth,D=3,HPAF-Full,3,3,1,0.9824561403508771
dependency_depth,D>=4,ProgPrompt-Compat,0,0,,
dependency_depth,D>=4,HPAF-Flat,0,0,,
dependency_depth,D>=4,HPAF-Full,0,0,,
