task_id,task,gt_horizon,horizon,atomic_count,progprompt,flat,full
test_unseen::turn_off_light,turn off light,3,Short,1,1,1,1
test_unseen::throw_away_apple,throw away apple,8,Medium,1,1,1,1
test_unseen::put_salmon_in_the_fridge,put salmon in the fridge,8,Medium,1,1,1,1
test_unseen::wash_the_plate,wash the plate,18,Long,1,1,1,1
test_unseen::bring_coffeepot_and_cupcake_to_the_coffee_table,bring coffeepot and cupcake to the coffee table,8,Medium,2,1,1,1
test_unseen::microwave_salmon,microwave salmon,11,Long,2,1,1,1
"test_unseen_ambiguous_goals::collect_4_fruits_such_as_apple,_banana,_etc_in_the_dishbowl","collect 4 fruits such as apple, banana, etc in the dishbowl",14,Long,4,0,0,1
env1::turn_off_tablelamp,turn off tablelamp,2,Short,1,1,1,1
env1::put_the_soap_in_the_bathroomcabinet,put the soap in the bathroomcabinet,6,Medium,1,1,1,1
env1::throw_away_plum,throw away plum,6,Medium,1,1,0,1
env1::bring_my_book_to_the_sofa,bring my book to the sofa,4,Short,1,0,1,1
env1::put_chicken_in_the_fridge,put chicken in the fridge,6,Medium,1,1,0,1
env1::bring_coffeepot_and_peach_to_the_coffee_table,bring coffeepot and peach to the coffee table,7,Medium,2,0,1,1
env1::microwave_chicken,microwave chicken,13,Long,2,1,0,0
env2::open_the_curtains,open the curtains,2,Short,1,1,1,1
env2::turn_on_tv,turn on tv,2,Short,1,1,1,1
env2::put_the_soap_in_the_bathroomcabinet,put the soap in the bathroomcabinet,6,Medium,1,1,1,1
env2::throw_away_bananas,throw away bananas,6,Medium,1,1,0,1
env2::bring_my_book_to_the_sofa,bring my book to the sofa,4,Short,1,0,1,1
env2::put_milk_in_the_fridge,put milk in the fridge,6,Medium,1,1,1,1
