task_id,task,split,scene,gt_action_length,horizon,method,semantic_sr,semantic_gcr,official_sr,official_gcr,exec,generation_calls,verification_calls,repair_calls,total_calls,prompt_tokens,completion_tokens,total_tokens,planning_latency,verification_latency,total_llm_latency,number_of_atomic_tasks,atomic_tasks_attempted,retry_count,early_stop_count,online_done,error_type
test_unseen::turn_off_light,turn off light,test_unseen,0,3,Short,ProgPrompt,1,1.0,0,0.5,0.8,1,2,0,3,2526,236,2762,4.164759137000146,4.886593076999816,9.051352213999962,0,0,0,0,,precondition_failure
test_unseen::turn_off_light,turn off light,test_unseen,0,3,Short,HPAF-Flat,1,1.0,0,0.5,1.0,1,1,0,2,2489,122,2611,2.0350981309993585,4.619383299999754,6.6544814309991125,0,0,0,0,True,
test_unseen::turn_off_light,turn off light,test_unseen,0,3,Short,HPAF-Full,1,1.0,0,0.5,1.0,2,1,0,3,3443,145,3588,2.8559091099996294,2.982937392999702,5.838846502999331,1,1,0,0,True,
test_unseen::throw_away_apple,throw away apple,test_unseen,0,8,Medium,ProgPrompt,1,1.0,1,1.0,0.9090909090909091,1,8,0,9,4326,810,5136,5.634549209000397,42.86816954300048,48.502718752000874,0,0,0,0,,precondition_failure
test_unseen::throw_away_apple,throw away apple,test_unseen,0,8,Medium,HPAF-Flat,1,1.0,1,1.0,1.0,1,1,0,2,2302,168,2470,4.011038382000152,2.4377601750002214,6.448798557000373,0,0,0,0,True,
test_unseen::throw_away_apple,throw away apple,test_unseen,0,8,Medium,HPAF-Full,1,1.0,1,1.0,1.0,2,1,0,3,3201,180,3381,8.959790412000984,5.943428786000368,14.903219198001352,1,1,0,0,True,
test_unseen::put_salmon_in_the_fridge,put salmon in the fridge,test_unseen,0,8,Medium,ProgPrompt,1,1.0,1,1.0,0.9230769230769231,1,8,0,9,4315,766,5081,5.654175597999711,20.842897867999454,26.497073465999165,0,0,0,0,,precondition_failure
test_unseen::put_salmon_in_the_fridge,put salmon in the fridge,test_unseen,0,8,Medium,HPAF-Flat,1,1.0,1,1.0,1.0,1,1,0,2,2325,144,2469,3.6035606850000477,6.625593214999753,10.229153899999801,0,0,0,0,True,
test_unseen::put_salmon_in_the_fridge,put salmon in the fridge,test_unseen,0,8,Medium,HPAF-Full,1,1.0,1,1.0,1.0,2,1,0,3,3243,179,3422,4.856525490000422,1.9961377529998572,6.852663243000279,1,1,0,0,True,
test_unseen::wash_the_plate,wash the plate,test_unseen,0,18,Long,ProgPrompt,1,1.0,0,0.7272727272727273,0.9285714285714286,1,13,0,14,5804,1744,7548,7.503886230000717,64.64170658900002,72.14559281900074,0,0,0,0,,precondition_failure
test_unseen::wash_the_plate,wash the plate,test_unseen,0,18,Long,HPAF-Flat,1,1.0,0,0.4545454545454546,1.0,1,1,0,2,2835,188,3023,2.619962822999696,2.1125723229997675,4.732535145999464,0,0,0,0,True,
test_unseen::wash_the_plate,wash the plate,test_unseen,0,18,Long,HPAF-Full,1,1.0,0,0.4545454545454546,1.0,2,1,0,3,3804,209,4013,5.986110816999826,2.814815013000043,8.80092582999987,1,1,0,0,True,
test_unseen::bring_coffeepot_and_cupcake_to_the_coffee_table,bring coffeepot and cupcake to the coffee table,test_unseen,0,8,Medium,ProgPrompt,1,1.0,0,0.625,1.0,1,8,0,9,4352,1180,5532,9.051592538000477,48.81731520100038,57.86890773900086,0,0,0,0,,
test_unseen::bring_coffeepot_and_cupcake_to_the_coffee_table,bring coffeepot and cupcake to the coffee table,test_unseen,0,8,Medium,HPAF-Flat,1,1.0,1,1.0,1.0,1,1,0,2,2547,197,2744,4.507232076000037,2.351145355999506,6.858377431999543,0,0,0,0,True,
test_unseen::bring_coffeepot_and_cupcake_to_the_coffee_table,bring coffeepot and cupcake to the coffee table,test_unseen,0,8,Medium,HPAF-Full,1,1.0,0,0.8125,0.9,3,3,1,7,7957,515,8472,10.640174172000116,7.793327273999239,18.433501445999354,2,2,1,0,True,precondition_failure
test_unseen::microwave_salmon,microwave salmon,test_unseen,0,11,Long,ProgPrompt,1,1.0,0,0.33333333333333337,0.782608695652174,1,16,0,17,6935,1349,8284,9.202945500999704,70.62985197700164,79.83279747800134,0,0,0,0,,precondition_failure
test_unseen::microwave_salmon,microwave salmon,test_unseen,0,11,Long,HPAF-Flat,1,1.0,0,0.0,1.0,1,1,0,2,2759,199,2958,5.130745356999796,3.006188112000018,8.136933468999814,0,0,0,0,True,
test_unseen::microwave_salmon,microwave salmon,test_unseen,0,11,Long,HPAF-Full,1,1.0,0,0.0,1.0,3,2,0,5,6198,326,6524,13.848933296000723,6.180748634999873,20.029681931000596,2,2,0,0,True,
"test_unseen_ambiguous_goals::collect_4_fruits_such_as_apple,_banana,_etc_in_the_dishbowl","collect 4 fruits such as apple, banana, etc in the dishbowl",test_unseen_ambiguous_goals,0,14,Long,ProgPrompt,0,0.0,0,0.0714285714285714,0.7391304347826086,1,11,0,12,5279,1954,7233,8.356878095999491,75.82148611799948,84.17836421399898,0,0,0,0,,precondition_failure
"test_unseen_ambiguous_goals::collect_4_fruits_such_as_apple,_banana,_etc_in_the_dishbowl","collect 4 fruits such as apple, banana, etc in the dishbowl",test_unseen_ambiguous_goals,0,14,Long,HPAF-Flat,0,0.0,1,1.0,1.0,1,1,0,2,2951,299,3250,6.266053796999586,3.4526940440000544,9.71874784099964,0,0,0,0,False,
"test_unseen_ambiguous_goals::collect_4_fruits_such_as_apple,_banana,_etc_in_the_dishbowl","collect 4 fruits such as apple, banana, etc in the dishbowl",test_unseen_ambiguous_goals,0,14,Long,HPAF-Full,1,1.0,0,0.9285714285714286,1.0,5,4,0,9,9319,641,9960,28.408417055999962,16.176860577001207,44.58527763300117,4,4,0,0,True,
env1::turn_off_tablelamp,turn off tablelamp,env1,1,2,Short,ProgPrompt,1,1.0,1,1.0,0.75,1,2,0,3,2481,218,2699,4.990501051999672,7.119925207000051,12.110426258999723,0,0,0,0,,precondition_failure
env1::turn_off_tablelamp,turn off tablelamp,env1,1,2,Short,HPAF-Flat,1,1.0,1,1.0,1.0,1,1,0,2,1797,121,1918,3.139399802999833,10.679224342999987,13.81862414599982,0,0,0,0,True,
env1::turn_off_tablelamp,turn off tablelamp,env1,1,2,Short,HPAF-Full,1,1.0,1,1.0,1.0,2,1,0,3,2694,143,2837,4.963247030000275,2.5065606650005066,7.469807695000782,1,1,0,0,True,
env1::put_the_soap_in_the_bathroomcabinet,put the soap in the bathroomcabinet,env1,1,6,Medium,ProgPrompt,1,1.0,1,1.0,1.0,1,8,0,9,4300,690,4990,5.807419249999839,26.8693287899996,32.67674803999944,0,0,0,0,,
env1::put_the_soap_in_the_bathroomcabinet,put the soap in the bathroomcabinet,env1,1,6,Medium,HPAF-Flat,1,1.0,1,1.0,1.0,1,1,0,2,1997,201,2198,5.306577508999908,3.759236980999958,9.065814489999866,0,0,0,0,True,
