set,method,role,calls,prompt_tokens,completion_tokens,total_tokens
Regression,ProgPrompt,assertion_verification,153,45878,304,46182
Regression,ProgPrompt,whole_program_generation,20,38102,6189,44291
Regression,HPAF-Flat,flat_program_agent,20,29862,2176,32038
Regression,HPAF-Flat,flat_verifier,20,17134,1023,18157
Regression,HPAF-Full,atomic_program_agent,27,40670,2372,43042
Regression,HPAF-Full,atomic_verifier,27,20822,1341,22163
Regression,HPAF-Full,post_repair_verifier,1,617,44,661
Regression,HPAF-Full,repair_program_agent,1,1961,59,2020
Regression,HPAF-Full,task_agent,20,17581,952,18533
Confirmatory,ProgPrompt,assertion_verification,82,24468,162,24630
Confirmatory,ProgPrompt,whole_program_generation,9,17056,3457,20513
Confirmatory,HPAF-Flat,flat_program_agent,9,13028,1378,14406
Confirmatory,HPAF-Flat,flat_verifier,9,9801,746,10547
Confirmatory,HPAF-Full,atomic_program_agent,16,23251,1304,24555
Confirmatory,HPAF-Full,atomic_verifier,16,12167,874,13041
Confirmatory,HPAF-Full,post_repair_verifier,4,3714,297,4011
Confirmatory,HPAF-Full,repair_program_agent,4,7753,281,8034
Confirmatory,HPAF-Full,task_agent,9,7825,658,8483
Combined,ProgPrompt,assertion_verification,235,70346,466,70812
Combined,ProgPrompt,whole_program_generation,29,55158,9646,64804
Combined,HPAF-Flat,flat_program_agent,29,42890,3554,46444
Combined,HPAF-Flat,flat_verifier,29,26935,1769,28704
Combined,HPAF-Full,atomic_program_agent,43,63921,3676,67597
Combined,HPAF-Full,atomic_verifier,43,32989,2215,35204
Combined,HPAF-Full,post_repair_verifier,5,4331,341,4672
Combined,HPAF-Full,repair_program_agent,5,9714,340,10054
Combined,HPAF-Full,task_agent,29,25406,1610,27016
