Subset,Method,n,success,sr,macro_exec,micro_exec,avg_tokens,avg_calls
overall,ProgPrompt-Compat,40,18,0.45,0.9174687149720802,0.8911290322580645,6882.675,11.475
overall,HPAF-Flat,40,27,0.675,0.8353723604826546,0.8113207547169812,2726.875,2.0
overall,HPAF-Full,40,28,0.7,0.8413088647463648,0.9385474860335196,5818.025,5.15
official_source_29,ProgPrompt-Compat,29,18,0.6206896551724138,0.9250781369222149,0.8888888888888888,5854.103448275862,9.310344827586206
official_source_29,HPAF-Flat,29,20,0.6896551724137931,0.8453580901856764,0.8439024390243902,2487.862068965517,2.0
official_source_29,HPAF-Full,29,25,0.8620689655172413,0.9239728183693701,0.921161825726141,5641.586206896552,4.931034482758621
new_long_11,ProgPrompt-Compat,11,0,0.0,0.8974075116489977,0.8947368421052632,9594.363636363636,17.181818181818183
new_long_11,HPAF-Flat,11,7,0.6363636363636364,0.8090463458110517,0.7710843373493976,3357.0,2.0
new_long_11,HPAF-Full,11,3,0.2727272727272727,0.6233766233766234,0.9743589743589743,6283.181818181818,5.7272727272727275
existing_official_long_4,ProgPrompt-Compat,4,1,0.25,0.7940340909090909,0.7971014492753623,8808.25,15.5
existing_official_long_4,HPAF-Flat,4,2,0.5,1.0,1.0,3015.25,2.0
existing_official_long_4,HPAF-Full,4,3,0.75,0.96875,0.9482758620689655,7888.25,6.0
combined_long_15,ProgPrompt-Compat,15,1,0.06666666666666667,0.8698412661183559,0.8687258687258688,9384.733333333334,16.733333333333334
combined_long_15,HPAF-Flat,15,9,0.6,0.859967320261438,0.8215962441314554,3265.866666666667,2.0
combined_long_15,HPAF-Full,15,6,0.4,0.7154761904761905,0.9657142857142857,6711.2,5.8
