task,ground_truth_action_length,difficulty_bucket,scene,goal_condition_count,source_file,final_state_index
watch tv,3,Short,0,6,file3_annotated.json,0
turn off light,3,Short,0,2,file3_annotated.json,1
brush teeth,8,Medium,0,11,file3_annotated.json,2
throw away apple,8,Medium,0,5,file3_annotated.json,3
make toast,8,Medium,0,1,file3_annotated.json,4
eat chips on the sofa,5,Short,0,8,file1_annotated.json,5
put salmon in the fridge,8,Medium,0,7,file1_annotated.json,6
wash the plate,18,Long,0,11,file1_annotated.json,7
bring coffeepot and cupcake to the coffee table,8,Medium,0,16,file1_annotated.json,8
microwave salmon,11,Long,0,3,file1_annotated.json,9
