run_id,timestamp,task,method,provider,model,scene,initial_state_sha256,ground_truth_action_length,difficulty_bucket,goal_condition_count,number_of_atomic_tasks,SR,GCR,PSR,Precision,Exec,program_length,llm_calls,prompt_tokens,completion_tokens,total_tokens,planning_latency,wall_clock_total_s,error_type,error_message
2026-08-25T143156.015362_0000_progprompt_full_watch_tv,2026-08-25T14:31:56.015362+00:00,watch tv,ProgPrompt-Full,ark,doubao-seed-2-1-pro-260628,0,6ebd404fdbb03bd2dcaaf5ad6566606ceeacae3bf5f6829d02a6716cbcd2afd8,3,Short,6,0,0,0.16666666666666663,0.16666666666666663,1.0,0.35714285714285715,14,10,4533,378,4911,26.879667437002354,28.19293265399756,precondition_failure,"<character> (1) is not close to <remotecontrol> (452) when executing ""[FIND] <remotecontrol> (452) [0]"""
2026-08-25T143214.207606_0000_hpaf_decomp_static_watch_tv,2026-08-25T14:32:14.207606+00:00,watch tv,HPAF-Decomp-Static,ark,doubao-seed-2-1-pro-260628,0,6ebd404fdbb03bd2dcaaf5ad6566606ceeacae3bf5f6829d02a6716cbcd2afd8,3,Short,6,4,0,0.33333333333333337,0.33333333333333337,0.9927884615384616,0.8181818181818182,11,5,5942,578,6520,17.150582971000404,18.18536560999928,precondition_failure,"<character> (1) is sitting when executing ""[SIT] <sofa> (368) [0]"""
2026-08-25T144722.407974_0000_hpaf_decomp_closedloop_watch_tv,2026-08-25T14:47:22.407974+00:00,watch tv,HPAF-Decomp-ClosedLoop,ark,doubao-seed-2-1-pro-260628,0,6ebd404fdbb03bd2dcaaf5ad6566606ceeacae3bf5f6829d02a6716cbcd2afd8,3,Short,6,3,0,0.5,0.5,0.9975961538461539,0.75,4,3,3287,273,3560,12.8856093209979,14.420007235999947,atomic_verification_failure,Atomic 2 did not pass its boundary check
2026-08-25T143239.913454_0000_progprompt_full_turn_off_light,2026-08-25T14:32:39.913454+00:00,turn off light,ProgPrompt-Full,ark,doubao-seed-2-1-pro-260628,0,6ebd404fdbb03bd2dcaaf5ad6566606ceeacae3bf5f6829d02a6716cbcd2afd8,3,Short,2,0,0,0.5,0.5,1.0,0.6,5,3,2541,129,2670,14.872142489999533,15.753463557000941,hallucinated_action,hallucinated action: else
2026-08-25T143249.309056_0000_hpaf_decomp_static_turn_off_light,2026-08-25T14:32:49.309056+00:00,turn off light,HPAF-Decomp-Static,ark,doubao-seed-2-1-pro-260628,0,6ebd404fdbb03bd2dcaaf5ad6566606ceeacae3bf5f6829d02a6716cbcd2afd8,3,Short,2,1,0,0.5,0.5,1.0,1.0,2,2,2230,151,2381,8.480550137002865,9.39430190100029,,
2026-08-25T144728.715751_0000_hpaf_decomp_closedloop_turn_off_light,2026-08-25T14:47:28.715751+00:00,turn off light,HPAF-Decomp-ClosedLoop,ark,doubao-seed-2-1-pro-260628,0,6ebd404fdbb03bd2dcaaf5ad6566606ceeacae3bf5f6829d02a6716cbcd2afd8,3,Short,2,1,0,0.5,0.5,1.0,1.0,2,2,2260,152,2412,5.147623415003181,6.305646017000981,,
2026-08-25T143558.049421_0000_progprompt_full_brush_teeth,2026-08-25T14:35:58.049421+00:00,brush teeth,ProgPrompt-Full,ark,doubao-seed-2-1-pro-260628,0,6ebd404fdbb03bd2dcaaf5ad6566606ceeacae3bf5f6829d02a6716cbcd2afd8,8,Medium,11,0,0,0.6363636363636364,0.6363636363636364,0.9951456310679612,0.5,22,16,6442,840,7282,182.34788018299878,183.3792013759994,hallucinated_action,hallucinated action: else
2026-08-25T143643.927657_0000_hpaf_decomp_static_brush_teeth,2026-08-25T14:36:43.927657+00:00,brush teeth,HPAF-Decomp-Static,ark,doubao-seed-2-1-pro-260628,0,6ebd404fdbb03bd2dcaaf5ad6566606ceeacae3bf5f6829d02a6716cbcd2afd8,8,Medium,11,7,0,0.4545454545454546,0.4545454545454546,1.0,0.8108108108108109,37,8,9649,1261,10910,44.57760134599448,45.87588283800142,precondition_failure,"<character> (1) does not have a free hand when executing ""[GRAB] <toothpaste> (62) [0]"""
2026-08-25T144738.315157_0000_hpaf_decomp_closedloop_brush_teeth,2026-08-25T14:47:38.315157+00:00,brush teeth,HPAF-Decomp-ClosedLoop,ark,doubao-seed-2-1-pro-260628,0,6ebd404fdbb03bd2dcaaf5ad6566606ceeacae3bf5f6829d02a6716cbcd2afd8,8,Medium,11,5,0,0.36363636363636365,0.36363636363636365,0.9975728155339806,0.75,8,3,3292,389,3681,8.513752278995526,9.59851178000099,atomic_verification_failure,Atomic 2 did not pass its boundary check
2026-08-25T143730.518699_0000_progprompt_full_throw_away_apple,2026-08-25T14:37:30.518699+00:00,throw away apple,ProgPrompt-Full,ark,doubao-seed-2-1-pro-260628,0,6ebd404fdbb03bd2dcaaf5ad6566606ceeacae3bf5f6829d02a6716cbcd2afd8,8,Medium,5,0,1,1.0,1.0,1.0,0.9090909090909091,11,9,4341,393,4734,37.45302139901105,38.470689098998264,hallucinated_action,hallucinated action: else
